station_id,capacity,docks_total,diff_net,ape_net,capacity_calib,diff_calib,ape_calib
31416,13,8,5,62.5,9.237236555666788,1.2372365556667884,15.465456945834855
31417,51,3,48,1600.0,10.78512114511384,7.785121145113839,259.50403817046134
31418,62,9,53,588.8888888888889,11.233192999953776,2.2331929999537756,24.813255555041952
31419,45,12,33,275.0,10.540718315201147,-1.459281684798853,12.160680706657107
31420,53,19,34,178.94736842105263,10.866588755084738,-8.133411244915262,42.807427604817164
31421,131,7,124,1771.4285714285716,14.043825543949737,7.043825543949737,100.62607919928195
31422,14,16,-2,12.5,9.277970360652237,-6.722029639347763,42.01268524592352
31423,32,1,31,3100.0,10.011178850390314,9.011178850390314,901.1178850390314
31424,53,5,48,960.0,10.866588755084738,5.866588755084738,117.33177510169477
31425,29,5,24,480.0,9.888977435433969,4.888977435433969,97.77954870867937
31426,136,12,124,1033.3333333333335,14.24749456887698,2.2474945688769807,18.72912140730817
31427,6,11,-5,45.45454545454545,8.952099920768648,-2.0479000792313524,18.61727344755775
31428,4,6,-2,33.33333333333333,8.87063231079775,2.8706323107977507,47.84387184662918
31429,22,18,4,22.22222222222222,9.603840800535828,-8.396159199464172,46.64532888591207
31500,39,12,27,225.0,10.296315485288455,-1.7036845147115454,14.197370955929545
31501,28,5,23,459.99999999999994,9.84824363044852,4.84824363044852,96.9648726089704
31502,13,10,3,30.0,9.237236555666788,-0.7627634443332116,7.627634443332116
31503,122,6,116,1933.3333333333333,13.6772212990807,7.677221299080699,127.95368831801166
31504,74,18,56,311.11111111111114,11.72199865977916,-6.27800134022084,34.87778522344911
31505,47,20,27,135.0,10.622185925172046,-9.377814074827954,46.88907037413978
31506,78,14,64,457.1428571428571,11.884933879720956,-2.115066120279044,15.107615144850314
31507,129,9,120,1333.3333333333335,13.96235793397884,4.96235793397884,55.13731037754267
31508,23,15,8,53.333333333333336,9.644574605521276,-5.355425394478724,35.70283596319149
31510,8,1,7,700.0,9.033567530739544,8.033567530739544,803.3567530739545
31511,29,9,20,222.22222222222223,9.888977435433969,0.8889774354339686,9.877527060377428
31512,27,5,22,440.00000000000006,9.80750982546307,4.80750982546307,96.1501965092614
31513,42,18,24,133.33333333333331,10.418516900244802,-7.581483099755198,42.11935055419554
31514,36,8,28,350.0,10.17411407033211,2.1741140703321093,27.176425879151367
31515,25,11,14,127.27272727272727,9.726042215492173,-1.273957784507827,11.581434404616608
31516,28,18,10,55.55555555555556,9.84824363044852,-8.15175636955148,45.28753538639711
31517,34,9,25,277.77777777777777,10.092646460361212,1.0926464603612125,12.140516226235693
31518,30,12,18,150.0,9.929711240419417,-2.070288759580583,17.25240632983819
31519,82,5,77,1540.0,12.047869099662751,7.047869099662751,140.957381993255
31520,33,5,28,560.0,10.051912655375762,5.051912655375762,101.03825310751525
31522,28,15,13,86.66666666666667,9.84824363044852,-5.15175636955148,34.345042463676535
31523,47,11,36,327.2727272727273,10.622185925172046,-0.37781407482795437,3.434673407526858
31524,60,11,49,445.45454545454544,11.151725389982879,0.15172538998287877,1.3793217271170797
31525,45,18,27,150.0,10.540718315201147,-7.459281684798853,41.44045380443807
31526,13,13,0,0.0,9.237236555666788,-3.7627634443332116,28.94433418717855
31527,36,8,28,350.0,10.17411407033211,2.1741140703321093,27.176425879151367
31528,50,13,37,284.61538461538464,10.744387340128391,-2.255612659871609,17.350866614396992
31529,27,2,25,1250.0,9.80750982546307,7.80750982546307,390.3754912731535
