station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
31035,4,N Quincy St & Glebe Rd,3,1,33.33333333333333
31036,7,George Mason Dr & Wilson Blvd,7,0,0.0
31037,8,Ballston Metro / Stuart St & 9th St N,21,-13,61.904761904761905
31038,5,Glebe Rd & 11th St N,9,-4,44.44444444444444
31039,7,Wilson Blvd & N Quincy St,13,-6,46.15384615384615
31040,5,GMU/Fairfax Dr & Kenmore St,6,-1,16.666666666666664
31041,11,Prince St & Union St,1,10,1000.0
31042,6,Market Square / King St & Royal St,6,0,0.0
31043,6,St Asaph & Pendleton St,4,2,50.0
31044,5,King St & Patrick St,6,-1,16.666666666666664
31045,4,Commerce St & Fayette St,7,-3,42.857142857142854
31046,4,Henry St & Pendleton St,6,-2,33.33333333333333
31047,6,Braddock Rd Metro North,13,-7,53.84615384615385
31048,5,King St Metro South,19,-14,73.68421052631578
31049,6,Fairfax Dr & N Taylor St,5,1,20.0
31050,4,Barton St & 10th St N,8,-4,50.0
31051,6,12th St N & N Pierce St,7,-1,14.285714285714285
31052,4,Potomac Ave & 35th St S,8,-4,50.0
31053,5,Columbia Pike & S Courthouse Rd,7,-2,28.57142857142857
31054,4,Wakefield High School,5,-1,20.0
31055,4,28th St & S Meade St,7,-3,42.857142857142854
31057,5,S Four Mile Run Dr & Shirlington Rd,11,-6,54.54545454545454
31058,4,Columbia Pike & Monroe St,7,-3,42.857142857142854
31059,4,S Four Mile Run Dr & Walter Reed Dr,4,0,0.0
31060,7,S Arlington Mill Dr & Campbell Ave,10,-3,30.0
31061,3,S Kenmore St & 24th St S,9,-6,66.66666666666666
31062,16,Roosevelt Island,4,12,300.0
31063,3,S George Mason Dr & S Four Mile Run Dr,2,1,50.0
31064,29,Gravelly Point,3,26,866.6666666666666
31065,7,N Pershing Dr & N Wayne St,8,-1,12.5
31066,3,Columbia Pike & S Orme St,4,-1,25.0
31067,3,Columbia Pike & S Walter Reed Dr,7,-4,57.14285714285714
31068,5,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,7,-2,28.57142857142857
31069,4,N Pershing Dr & N George Mason Dr,8,-4,50.0
31070,3,Arlington Blvd & Fillmore St,7,-4,57.14285714285714
31071,15,Eads St & 12th St S,8,7,87.5
31072,3,31st St & S Woodrow St,6,-3,50.0
31073,6,Washington Blvd & Walter Reed Dr ,5,1,20.0
31075,4,Rolfe St & 9th St S,1,3,300.0
31076,4,S Randolph St & Campbell Ave,7,-3,42.857142857142854
31077,12,Iwo Jima Memorial / Meade & 14th St N,14,-2,14.285714285714285
31078,5,Arlington Blvd & S George Mason Dr,2,3,150.0
31079,5,Langston Blvd & N Cleveland St,4,1,25.0
31080,6,Langston Blvd & N Scott St,15,-9,60.0
31081,3,Duke St & John Carlyle St,5,-2,40.0
31082,3,Eisenhower Ave & Mill Race Ln,13,-10,76.92307692307693
31083,6,Potomac Greens Dr & Slaters Ln,9,-3,33.33333333333333
31084,4,Ballenger Ave & Dulaney St,12,-8,66.66666666666666
31085,5,Mount Vernon Ave & E Nelson Ave,10,-5,50.0
31086,5,Mount Vernon Ave & E Del Ray Ave,2,3,150.0
31087,5,Monroe Ave & Leslie Ave,14,-9,64.28571428571429
31088,4,Mount Vernon Ave & Kennedy St,8,-4,50.0
31089,8,Court House Metro / 15th St & N Uhle St,16,-8,50.0
31090,6,Long Bridge Park / Long Bridge Dr & 6th St S,3,3,100.0
31091,6,Joyce St & 16th St S,3,3,100.0
31092,3,Langston Blvd & N Monroe St,1,2,200.0
31093,4,21st St & N Pierce St,11,-7,63.63636363636363
31094,6,Langston Blvd & N Kirkwood Rd,5,1,20.0
31095,2,Army Navy Dr & S Nash St,8,-6,75.0
31096,4,Columbia Pike & S Highland St,9,-5,55.55555555555556
31098,5,King St Metro North / Cameron St,1,4,400.0
31099,3,Madison St & N Henry St,14,-11,78.57142857142857
31100,14,19th St & Pennsylvania Ave NW,15,-1,6.666666666666667
31101,29,14th & V St NW,1,28,2800.0
