station_id,station_name,docks_total
31667.0,2nd & V St SW / James Creek Marina,6
31668.0,1st St & Potomac Ave SE,19
31669.0,3rd & M St SE,19
31670.0,12th St & New York Ave NW,27
31671.0,53rd & D St SE/C.W. Harris Elementary,14
31672.0,10th & H St NE,2
31673.0,Waterfront Park,11
31674.0,Maine Ave & Water St SW,4
31675.0,North Capitol & K St NE,8
31676.0,1st & Q St SW,12
31677.0,1st & L St NW,10
31678.0,4th & O St SW,1
31680.0,Half & I St SW ,3
31699.0,Eastern Market Metro,28
31700.0,Marion Barry Ave & Naylor Rd SE,19
31701.0,Branch & Pennsylvania Ave SE,14
31702.0,Randle Circle & Minnesota Ave SE,6
31703.0,Minnesota Ave Metro/DOES,10
31704.0,Nannie Helen Burroughs & Minnesota Ave NE,3
31705.0,Benning Branch Library,9
31706.0,Fairfax Village,5
31707.0,Benning Rd & East Capitol St NE / Benning Rd Metro,13
31708.0,Anacostia Ave & Benning Rd NE / River Terrace ,13
31710.0,Nannie Helen Burroughs Ave & 49th St NE,1
31711.0,Deanwood Rec Center,6
31712.0,Oklahoma Ave & D St NE,10
31713.0,Division Ave & Foote St NE,5
31714.0,61st St & Banks Pl NE,11
31715.0,37th & Ely Pl SE,10
31716.0,Kingman Island/The Fields at RFK,5
31717.0,Kenilworth Terr & Hayes St. NE,9
31718.0,Ridge Rd Community Center,13
31719.0,Oklahoma Ave & Benning Rd NE,0
31720.0,Anacostia Roller Skating Pavilion,17
31721.0,Anacostia Ave & East Capitol St NE,9
31722.0,Woody Ward Rec Center,15
31723.0,Ridge Rd & Southern Ave SE,11
31724.0,41st St & Alabama Ave SE / Fort Davis Rec,8
31725.0,16th St & North Carolina Ave NE,11
31726.0,34th St & Minnesota Ave SE,7
31727.0,17th St & Potomac Ave SE / Congressional Cemetery ,17
31728.0,55th & East Capitol St NE,7
31800.0,Alabama & MLK Ave SE,7
31801.0,Anacostia Metro,6
31802.0,MLK & Marion Barry Ave SE,2
31803.0,14th St & Marion Barry Ave SE,2
31804.0,Anacostia Library,9
31805.0,Pennsylvania & Minnesota Ave SE,3
31806.0,Congress Heights Metro,14
31808.0,W St & Shannon Pl SE,4
31811.0,South Capitol & Atlantic St SW,16
31812.0,16th & Q St SE / Anacostia HS,12
31813.0,Alabama Ave & Stanton Rd SE / Shops at Park Village,12
31814.0,Mississippi Ave & 19th St SE / THEARC,8
31815.0,19th & Savannah St SE,8
31816.0,4th St & Mississippi Ave SE,14
31817.0,1st & S Capitol St SE / Oxon Run Trail,1
31818.0,Livingston Rd & 3rd St SE,10
31819.0,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,4
31820.0,Anacostia Park,4
31822.0,Stanton Square SE,17
31824.0,Valley Ave & Wheeler Rd SE,4
31825.0,Fort Stanton Rec Center,14
31826.0,Minnesota Ave & R St SE,16
31827.0,St. Elizabeths West Campus/DHS ,19
31828.0,New Jersey Ave & H St SE,0
31829.0,16th & Bangor St SE,11
31830.0,South Capitol St and Southern Ave SE,0
31831.0,25th & S St SE ,7
31900.0,Langston Blvd & N Woodstock St,13
31901.0,Washington Blvd & N Frederick St,9
31902.0,Wilson Blvd & N Illinois St ,8
31903.0,Royal St & Wilkes St,1
31904.0,East Falls Church Metro / Sycamore St & 19th St N,16
31905.0,Kennebec St & 11th St N,6
31906.0,Commonwealth Ave & Oak St,12
31907.0,Franklin St & S Washington St,0
31908.0,Radford & Osage St,10
31909.0,Mount Vernon Ave & Four Mile Run Park,13
31910.0,Potomac Ave & Main Line Blvd,15
31912.0,Mount Vernon Ave & Bruce St,10
31913.0,Commonwealth Ave & E Monroe Ave,0
31914.0,Lee Center,9
31915.0,Powhatan St & Bashford Ln,8
31916.0,Potomac Ave & Swann Ave,16
31917.0,N Lynn St & Fairfax Dr,10
31918.0,Madison St & Fairfax St,12
31919.0,Carlin Springs Rd & N Thomas St,5
31920.0,Washington-Liberty High School / N Stafford St & Generals Way,10
31921.0,Westover Library / Washington Blvd & N McKinley Rd,9
31923.0,Columbia Pike & S George Mason Dr,9
31924.0,Wilson Blvd & N Troy St,9
31926.0,Wilson Blvd & N Vermont St,11
31927.0,Wheeler Ave & S. Floyd St.,8
31928.0,N. Beauregard St. & Berkley St.,13
31929.0,Mt Vernon Trail & S. Washington St.,2
31930.0,Eisenhower Ave & Ike Dr,14
31931.0,N Pitt St & Montgomery St,4
31932.0,Van Dorn Metro,6
31933.0,Duke St & Strand (Robinson Terminal),3
31935.0,National Airport,13
31936.0,Army Navy Dr & Fern St,10
31937.0,Arlington Blvd & Ft Myer Dr,9
31938.0,23rd St S & Hayes St,8
31939.0,Wilson Blvd & N Oak St,11
31940.0,Arlington Blvd & Fairfax Dr,10
31941.0,N Hampton Dr & Ford Ave,6
31942.0,Whiting & Lane Dr,7
31943.0,N Howard St & Taney Ave,9
31944.0,S Clark St & 33rd St,4
31945.0,Columbia Pike & S Greenbrier St,14
31946.0,Kenmore Ave & Seminary Rd,7
31947.0,Rosslyn Metro / Wilson Blvd & N Moore St,20
31948.0,W&OD Trail & Langston Blvd,9
31950.0,Long Bridge Aquatic Center,9
31951.0,8th Rd & S Frederick St,9
31952.0,N Howard St & N Imboden St,13
31953.0,S Pickett St & Shillings St,3
31954.0,S Jordan St & Venable St,7
31955.0,King St & Peyton St,12
31956.0,Reed & Edison,2
31957.0,King St & Kenwood Ave,13
31958.0,S Washington St & Wilkes St,5
31959.0,Main Line Blvd & E Glebe,12
31960.0,Commonwealth and Reed,5
31961.0,Fillmore & Bisdorf,8
31962.0,King St & W Braddock Rd,5
31963.0,Holmes Run Pkwy & N Pickett St,10
31964.0,Virginia Theological Seminary,9
31966.0,Duke St & Jordan St,8
31967.0,S Reynolds St & Edsall Rd,9
31968.0,King St & N Pitt St,2
31969.0,Braddock Rd Metro South,19
31970.0,First St & Fayette St,13
31971.0,S Wayne St and 9th St S,9
31972.0,S Wakefield St & 28th St S,9
31973.0,N Pershing Dr & N Quebec St,5
31974.0,Mandeville Ln & Stovall St,4
31976.0,Virginia Hospital Center,7
31977.0,Marymount University / Yorktown Blvd & 26th St N,10
31978.0,Arlington National Cemetery,1
31979.0,Potomac Yard Metro South,8
31981.0,Columbia Pike & W&OD Trail ,11
32000.0,Norfolk Ave & Fairmont St,8
32001.0,Fenton St & New York Ave ,8
32002.0,Bethesda Ave & Arlington Rd,10
32003.0,Montgomery Ave & Waverly St ,3
32005.0,Traville Gateway Dr & Gudelsky Dr,8
32006.0,13th St & Eastern Ave,9
32008.0,Cordell & Norfolk Ave,8
32009.0,Frederick Ave & Horners Ln,7
32011.0,Maple & Ritchie Ave,0
32012.0,Silver Spring Metro / Colesville Rd & Wayne Ave,16
32014.0,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,17
32017.0,Monroe St & Monroe Pl,10
32018.0,Needwood Rd & Eagles Head Ct,12
32019.0,East West Hwy & Blair Mill Rd,2
32021.0,47th & Elm St,14
32022.0,Dennis Ave & Amherst Ave,9
32023.0,Montgomery College / W Campus Dr & Mannakee St,14
32024.0,Fenton St & Gist Ave,3
32025.0,Carroll & Westmoreland Ave,3
32026.0,Carroll & Ethan Allen Ave,6
32027.0,Battery Ln & Trolley Trail,9
32028.0,Norfolk & Rugby Ave,8
32029.0,Offutt Ln & Chevy Chase Dr,7
32032.0,Fleet St & Ritchie Pkwy,11
32034.0,Silver Spring Transit Center - Top Level,14
32036.0,Fenton St & Ellsworth Dr ,13
32037.0,King Farm Blvd & Pleasant Dr,10
32038.0,King Farm Blvd & Piccard Dr,14
32039.0,Old Georgetown Rd & Southwick St,13
32040.0,Friendship Blvd & Willard Ave,12
32043.0,Veterans Pl & Pershing Dr ,6
32044.0,Rockville Metro East,9
32045.0,Shady Grove Metro West,18
32046.0,River Rd & Landy Ln,13
32047.0,Rockville Metro West,16
32048.0,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,6
32049.0,WAU / Flower Ave & Division St,2
32050.0,Spring St & 2nd Ave,5
32051.0,Connecticut Ave & Chevy Chase Lake Dr,12
32053.0,Medical Center Metro ,14
32054.0,Lyttonsville Rd & Lyttonsville Pl,5
32055.0,Woodmont Ave & Strathmore St,4
32056.0,East West Hwy & 16th St,12
32057.0,Pooks Hill Rd & Linden Ave,3
32058.0,Sligo Ave & Carroll Ln,13
32059.0,Takoma Park Rec Center,0
32061.0,New Hampshire & Kirklynn Ave,14
32062.0,Wheaton Metro / Georgia Ave & Reedie Dr,14
32063.0,Amherst Ave & Elkins St,10
32064.0,Amherst Ave & Prichard Rd,14
32065.0,Grandview & Blueridge Ave,12
32066.0,Windham Ln & Amherst Ave,13
32067.0,Shady Grove Metro East,14
32068.0,Columbus Ave & Tribeca St,7
32073.0,Blueridge Ave & Elkin St,13
32074.0,Twinbrook Metro,14
32075.0,North Bethesda Metro,25
32076.0,Citadel Ave & McGrath Blvd,13
32077.0,Rockville Pike & Old Georgetown Rd,14
32078.0,Woodglen Dr & Executive Blvd,14
32079.0,Executive Blvd & E Jefferson St,6
32080.0,Fishers Ln & Rock Creek Mill Rd,7
32081.0,Congressional Ln & E Jefferson St,6
32082.0,Garland Ave & Walden Rd,8
32083.0,Rockville Pike & Rose Ave,13
32084.0,Wheaton Library & Community Rec Center,9
32085.0,The Shoppes @ Burnt Mills,5
32086.0,Briggs Chaney & Castle Dr,15
32087.0,White Oak Rec Center,14
32088.0,Briggs Chaney Park & Ride,9
32089.0,New Hampshire & Lockwood,11
32090.0,Stewart & April,15
32092.0,Castle Blvd & Castle Ln,16
32094.0,Oak Leaf & Lockwood,18
32101.0,Witter Field,10
32200.0,Spring Hill Metro,14
